,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
159,MIRO TEIXEIRA,REDE,RJ,279006.19000000076
160,MARCELO MATOS,PSD,RJ,438428.9499999994
161,IRAJÁ ABREU,PSD,TO,356806.7400000002
162,LUANA COSTA,PSC,MA,497795.1799999996
163,RODRIGO GARCIA,DEM,SP,330175.7999999995
164,EDUARDO BOLSONARO,PSL,SP,226267.00999999995
165,VITOR PAULO,PRB,DF,225422.16000000003
166,FERNANDO MONTEIRO,PP,PE,130035.72999999994
167,STEFANO AGUIAR,PSD,MG,423356.93000000017
168,CACÁ LEÃO,PP,BA,406242.8800000009
169,CRISTIANE BRASIL,PTB,RJ,427571.86999999965
170,LUCIO VIEIRA LIMA,MDB,BA,270568.68999999994
171,HERÁCLITO FORTES,DEM,PI,472143.14999999944
172,ERIVELTON SANTANA,PATRI,BA,455771.45000000024
173,DAVIDSON MAGALHÃES,PCdoB,BA,138443.02999999994
174,CABUÇU BORGES,MDB,AP,513905.4699999996
175,JOÃO MARCELO SOUZA,MDB,MA,500534.0699999996
176,VALMIR PRASCIDELLI,PT,SP,443861.3199999993
177,JOSI NUNES,PROS,TO,472782.07999999914
178,MARCELO SQUASSONI,PRB,SP,427181.4399999991
179,PEDRO PAULO,DEM,RJ,413164.6799999996
180,RONALDO MARTINS,PRB,CE,504588.9399999999
181,MAURO PEREIRA,MDB,RS,68142.67
182,GABRIEL GUIMARÃES,PT,MG,227509.08999999973
183,GORETE PEREIRA,PR,CE,520673.3899999993
184,JARBAS VASCONCELOS,MDB,PE,496630.41999999864
185,JOSÉ FOGAÇA,MDB,RS,50116.57
186,ENIO VERRI,PT,PR,469511.72999999917
187,MARCO MAIA,PT,RS,489490.9099999999
188,ADEMIR CAMILO,MDB,MG,175894.38999999972
189,ANDRÉ FIGUEIREDO,PDT,CE,505383.28000000113
190,EDMILSON RODRIGUES,PSOL,PA,485894.5999999986
191,AFONSO HAMM,PP,RS,339840.7999999994
192,VICENTINHO JÚNIOR,PL,TO,489516.2599999997
193,BETO FARO,PT,PA,505805.3199999996
194,AELTON FREITAS,PR,MG,423412.87999999954
195,ANTONIO BULHÕES,PRB,SP,398482.7
196,VALADARES FILHO,PSB,SE,354570.2400000008
197,INDIO DA COSTA,PSD,RJ,326641.47999999946
198,ARNALDO JARDIM,CIDADANIA,SP,328741.52999999985
199,BRUNO ARAÚJO,PSDB,PE,484018.8899999986
200,CARLOS ZARATTINI,PT,SP,440875.3500000007
201,CARLOS BEZERRA,MDB,MT,452611.6199999999
202,CELSO MALDANER,MDB,SC,432760.4299999996
203,CLEBER VERDE,PRB,MA,507773.34999999934
204,DAGOBERTO NOGUEIRA,PDT,MS,537335.7600000004
205,DÉCIO LIMA,PT,SC,474139.27000000025
206,EDIO LOPES,PL,RR,519269.8399999989
207,EDUARDO DA FONTE,PP,PE,276224.9299999994
208,EFRAIM FILHO,DEM,PB,497097.11999999936
209,FÁBIO RAMALHO,MDB,MG,417000.09999999986
210,FÁBIO FARIA,PSD,RN,505297.3799999999
211,FELIPE MAIA,DEM,RN,315931.19999999984
212,FELIPE BORNIER,PROS,RJ,389193.2699999995
213,FERNANDO COELHO FILHO,DEM,PE,256649.7900000006
214,FLAVIANO MELO,MDB,AC,531284.0799999984
215,CHICO D'ANGELO,PDT,RJ,378672.1999999999
216,CHICO LOPES,PCdoB,CE,455913.0800000014
217,GEORGE HILTON,PSC,MG,424404.3800000003
218,PEPE VARGAS,PT,RS,485717.26999999967
219,HUGO LEAL,PSD,RJ,414278.0899999987
220,ALFREDO KAEFER,PP,PR,474452.9999999988
221,JOÃO CARLOS BACELAR,PL,BA,432725.4800000016
222,JOSÉ AIRTON FÉLIX CIRILO,PT,CE,498736.8600000004
223,JOSÉ GUIMARÃES,PT,CE,507095.30000000057
224,RICARDO TRIPOLI,PSDB,SP,310059.8099999992
225,JULIÃO AMIN,PDT,MA,370954.5299999992
226,LAERTE BESSA,PR,DF,384176.05000000005
227,LÁZARO BOTELHO,PP,TO,479871.69999999885
228,LEONARDO QUINTÃO,MDB,MG,427156.55000000034
229,LINDOMAR GARÇON,PRB,RO,519506.47999999963
230,LÚCIO VALE,PR,PA,349643.64999999944
231,LUIZ FERNANDO FARIA,PP,MG,421254.56
232,PAULO TEIXEIRA,PT,SP,455162.81000000087
233,MARCOS MONTES,PSD,MG,392216.05999999883
234,JÔ MORAES,PCdoB,MG,398991.1599999997
235,MAURO MARIANI,MDB,SC,250184.23999999996
236,MIGUEL CORRÊA,PT,MG,309310.5499999997
237,BILAC PINTO,DEM,MG,431941.3799999998
238,OTAVIO LEITE,PSDB,RJ,353129.95999999996
239,PAULO ABI-ACKEL,PSDB,MG,444483.0999999997
240,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,228817.5000000002
241,RENATO MOLLING,PP,RS,511281.0499999992
242,ROBERTO BRITTO,PP,BA,448998.1700000007
243,RODRIGO DE CASTRO,PSDB,MG,430502.72000000044
244,ROGÉRIO MARINHO,PSDB,RN,448472.4100000005
245,RÔMULO GOUVEIA,PSD,PB,176840.12
246,SÉRGIO MORAES,PTB,RS,397381.9399999994
247,VALTENIR PEREIRA,MDB,MT,484040.96999999933
248,VANDERLEI MACRIS,PSDB,SP,451601.81999999995
249,VINICIUS CARVALHO,PRB,SP,440971.7700000007
250,WALDIR MARANHÃO,PSDB,MA,304204.48
