,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
207,FELIPE MAIA,DEM,RN,323957.2600000001
208,FELIPE BORNIER,PROS,RJ,395986.93000000017
209,FERNANDO COELHO FILHO,DEM,PE,5735.5599999999995
210,FLAVIANO MELO,MDB,AC,521905.7800000012
211,CHICO D'ANGELO,PDT,RJ,416581.66000000044
212,CHICO LOPES,PCdoB,CE,508457.93000000046
213,GEORGE HILTON,PSC,MG,420719.88
214,PEPE VARGAS,PT,RS,489295.6699999989
215,HUGO LEAL,PSD,RJ,447366.73999999906
216,ALFREDO KAEFER,PP,PR,478813.2699999995
217,JOÃO CARLOS BACELAR,PL,BA,453311.3899999996
218,JOSÉ AIRTON FÉLIX CIRILO,PT,CE,500431.87
219,JOSÉ GUIMARÃES,PT,CE,521460.0999999997
220,RICARDO TRIPOLI,PSDB,SP,369873.0099999994
221,JULIÃO AMIN,PDT,MA,164747.29999999978
222,LAERTE BESSA,PR,DF,386329.23
223,LÁZARO BOTELHO,PP,TO,489312.20000000054
224,LEONARDO QUINTÃO,MDB,MG,419898.4700000005
225,LINDOMAR GARÇON,PRB,RO,530912.7000000001
226,LÚCIO VALE,PR,PA,414498.1099999993
227,LUIZ CARLOS BUSATO,PTB,RS,-1494.69
228,LUIZ FERNANDO FARIA,PP,MG,427848.05999999953
229,PAULO TEIXEIRA,PT,SP,454412.7599999995
230,MANOEL JUNIOR,MDB,PB,3.51
231,MARCOS MONTES,PSD,MG,440665.13000000094
232,JÔ MORAES,PCdoB,MG,436067.7899999993
233,MAURO MARIANI,MDB,SC,368900.8800000001
234,BILAC PINTO,DEM,MG,443573.39000000025
235,OTAVIO LEITE,PSDB,RJ,429277.5000000002
236,PAULO ABI-ACKEL,PSDB,MG,432960.2899999996
237,PAULO HENRIQUE LUSTOSA,PP,CE,256508.73999999982
238,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,315214.63999999885
239,SABINO CASTELO BRANCO,PTB,AM,127279.77000000009
240,RENATO MOLLING,PP,RS,469858.3300000005
241,ROBERTO BRITTO,PP,BA,469401.1800000001
242,RODRIGO DE CASTRO,PSDB,MG,397779.8300000005
243,ROCHA LOURES,MDB,PR,12192.0
244,ROGÉRIO MARINHO,PSDB,RN,507281.1399999999
245,RÔMULO GOUVEIA,PSD,PB,541454.140000001
246,SÉRGIO MORAES,PTB,RS,421263.4999999996
247,VALTENIR PEREIRA,MDB,MT,322035.6299999987
248,VANDERLEI MACRIS,PSDB,SP,442066.4299999998
249,VINICIUS CARVALHO,PRB,SP,436373.4000000004
250,WALDIR MARANHÃO,PSDB,MA,270460.52999999933
251,WALTER IHOSHI,PSD,SP,436918.8800000004
252,LELO COIMBRA,MDB,ES,451676.0100000003
253,DOMINGOS NETO,PSD,CE,521557.8399999999
254,DANIEL VILELA,MDB,GO,441647.3499999998
255,MARCELO ARO,PP,MG,372392.54
256,ROSINHA DA ADEFAL,AVANTE,AL,465651.62
257,PROFESSOR VICTÓRIO GALLI,PSL,MT,491617.7799999998
258,MÁRCIO MARINHO,PRB,BA,464059.9000000012
259,LAERCIO OLIVEIRA,PP,SE,395971.24999999907
260,MAIA FILHO,PP,PI,480000.81000000023
261,GLAUBER BRAGA,PSOL,RJ,413904.1199999996
262,ROBERTO ALVES,PRB,SP,460188.7000000005
263,ASSIS CARVALHO,PT,PI,429800.0800000002
264,MARCUS PESTANA,PSDB,MG,412954.29999999906
265,ROGÉRIO ROSSO,PSD,DF,295699.80999999994
266,AFONSO FLORENCE,PT,BA,470806.150000001
267,JORGINHO MELLO,PR,SC,471470.06999999995
268,LUIS TIBÉ,AVANTE,MG,444158.8299999997
269,ALESSANDRO MOLON,PSB,RJ,405951.46999999904
270,AUREO RIBEIRO,SOLIDARIEDADE,RJ,467428.129999999
271,RONALDO BENEDET,MDB,SC,484639.10999999935
272,PAULO FOLETTO,PSB,ES,449314.9700000005
273,WELITON PRADO,PROS,MG,442892.2200000004
274,AGUINALDO RIBEIRO,PP,PB,450400.39999999944
275,DANILO CABRAL,PSB,PE,461794.00999999954
276,ANTONIO IMBASSAHY,PSDB,BA,22925.95
277,JHONATAN DE JESUS,PRB,RR,554722.6200000003
278,ELI CORRÊA FILHO,DEM,SP,430698.73999999993
279,MARCON,PT,RS,468023.98999999976
280,MARCO TEBALDI,PSDB,SC,481177.4200000001
281,BOHN GASS,PT,RS,486414.70999999973
282,ARTHUR LIRA,PP,AL,438717.4999999997
283,ANDRE MOURA,PSC,SE,466188.74999999866
284,ALEXANDRE LEITE,DEM,SP,210126.96999999986
285,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,437941.0499999989
286,ANTONIO BRITO,PSD,BA,395096.63999999996
287,PADRE JOÃO,PT,MG,436363.6499999992
288,PAULO FREIRE COSTA,PL,SP,444522.3200000004
289,ALCEU MOREIRA,MDB,RS,499505.49000000034
290,MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP,400602.22000000067
291,MARA GABRILLI,PSDB,SP,401014.1200000003
292,NELSON PADOVANI,PSDB,PR,460915.0799999998
293,NELSON MARCHEZAN JUNIOR,PSDB,RS,109.89
294,WALDENOR PEREIRA,PT,BA,461324.48000000115
295,JERÔNIMO GOERGEN,PP,RS,475661.7499999999
296,JOÃO RODRIGUES,PSD,SC,493298.5699999999
297,JORGE CÔRTE REAL,PTB,PE,396551.9800000004
298,JOÃO ARRUDA,MDB,PR,453834.7499999997
299,ERIKA KOKAY,PT,DF,206442.01999999976
300,CÉSAR HALUM,PRB,TO,508556.15999999933
301,EDMAR ARRUDA,PSD,PR,474594.98000000126
302,ASSIS MELO,PCdoB,RS,461116.06
303,ALBERTO FILHO,PP,MA,487017.6300000002
304,DIEGO ANDRADE,PSD,MG,437047.0900000005
305,BRUNA FURLAN,PSDB,SP,455884.5800000007
306,VINICIUS GURGEL,PL,AP,531164.7800000005
307,ZECA DIRCEU,PT,PR,461587.12999999896
308,HEULER CRUVINEL,PP,GO,429178.8100000002
309,FLÁVIA MORAIS,PDT,GO,438590.9799999997
